Method,Cluster,NumTraces,Precision,Fitness,FScore,VariabilityRatio,Miner
HDBSCAN-TFIDF,Cluster 787,5,0.19277108433734935,0.9975124378109452,0.3231021024801711,0.6,inductive
HDBSCAN-TFIDF,Cluster 788,5,0.8807106598984772,1.0,0.9365721997300944,1.0,inductive
HDBSCAN-TFIDF,Cluster 789,2,0.49056603773584906,1.0,0.6582278481012659,1.0,inductive
HDBSCAN-TFIDF,Cluster 790,9,0.7314974182444062,0.9782571664963255,0.8370705340493803,1.0,inductive
HDBSCAN-TFIDF,Cluster 791,2,0.03474903474903479,1.0,0.06716417910447768,1.0,inductive
HDBSCAN-TFIDF,Cluster 792,2,0.7318435754189945,1.0,0.8451612903225807,1.0,inductive
HDBSCAN-TFIDF,Cluster 793,2,0.8253012048192772,1.0,0.9042904290429044,1.0,inductive
HDBSCAN-TFIDF,Cluster 794,9,0.6614872364039955,0.996837843460449,0.7952548245455852,1.0,inductive
HDBSCAN-TFIDF,Cluster 795,11,0.7402597402597403,0.9977827050997783,0.8499428401013966,0.9090909090909091,inductive
HDBSCAN-TFIDF,Cluster 796,3,0.7152777777777778,1.0,0.834008097165992,1.0,inductive
HDBSCAN-TFIDF,Cluster 797,3,0.508557457212714,1.0,0.6742301458670988,1.0,inductive
HDBSCAN-TFIDF,Cluster 798,2,0.04993946731234866,1.0,0.09512827904295186,1.0,inductive
HDBSCAN-TFIDF,Cluster 799,9,0.5791984732824427,0.9949109414758269,0.7321611737431727,1.0,inductive
HDBSCAN-TFIDF,Cluster 800,6,0.563552833078101,0.9980314960629921,0.7203497968205552,1.0,inductive
HDBSCAN-TFIDF,Cluster 801,18,0.7198033707865168,0.988837171714062,0.8331399280940875,1.0,inductive
HDBSCAN-TFIDF,Cluster 802,6,0.0521247913724483,0.9653807864609258,0.0989090835185303,1.0,inductive
HDBSCAN-TFIDF,Cluster 803,3,0.07951198990323938,0.948910799308979,0.1467291209124714,1.0,inductive
HDBSCAN-TFIDF,Cluster 804,10,0.11708074534161494,0.9847393181961017,0.2092792047576408,1.0,inductive
HDBSCAN-TFIDF,Cluster 805,3,0.0771796093377799,1.0,0.14329942503317117,1.0,inductive
HDBSCAN-TFIDF,Cluster 806,2,0.05028571428571427,1.0,0.09575625680087048,1.0,inductive
HDBSCAN-TFIDF,Cluster 807,3,0.3695652173913043,0.9790511711607117,0.5365844015816866,1.0,inductive
HDBSCAN-TFIDF,Cluster 808,10,0.04663618549967341,0.9396702599431026,0.0888621112712284,1.0,inductive
HDBSCAN-TFIDF,Cluster 809,4,0.47413793103448276,1.0,0.6432748538011697,1.0,inductive
HDBSCAN-TFIDF,Cluster 810,5,0.2789115646258503,0.9961993188973848,0.4358076059160434,1.0,inductive
KMeans-Doc2Vec,Cluster 0,5435,0.02664873226494635,0.9901435340877293,0.05190061100370257,0.9893284268629254,inductive
KMeans-Doc2Vec,Cluster 1,2299,0.09539026490991198,0.9862624716070469,0.17395571658284376,0.994780339277947,inductive
SOM-Doc2Vec,Cluster 0,5557,0.028051726008445854,0.9860919129890513,0.05455160215698274,0.9895627136944395,inductive
SOM-Doc2Vec,Cluster 1,2177,0.03830281897425991,0.9806474843436983,0.07372599615127484,0.9949471750114837,inductive
HDBSCAN-Doc2Vec,Cluster 0,2,0.584070796460177,1.0,0.7374301675977654,1.0,inductive
HDBSCAN-Doc2Vec,Cluster 1,8,0.05796581809489665,0.9388460308510074,0.1091900709265718,1.0,inductive
